requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
65.0,19,170571.0,170551.0,20.0,0.00011725322592937838,4.0,25.0,0.000146566532411723,2.0,5.276395166822027e-05,5,56858.0,0.00028140279292271977,57115.0,3.5017070822025735e-05,56598.0,3.533693770097883e-05
65.0,20,170646.0,170595.0,51.0,0.00029886431560071725,12.0,24.0,0.00014064203087092578,2.0,6.446093081584098e-05,13,56431.0,0.0005670642023001542,56921.0,0.0001756820856977214,57294.0,0.00015708451146716933
65.0,21,170521.0,170449.0,72.0,0.000422235384498097,12.0,31.0,0.00018179579054779176,2.0,7.623694442326752e-05,13,56863.0,0.0008265480189226738,57128.0,0.0003500910236661532,56530.0,8.84486113568017e-05
65.0,22,169810.0,169775.0,35.0,0.0002061127142099994,5.0,24.0,0.00014133443260114245,2.0,6.477828160885696e-05,6,56589.0,0.0003887681351499408,56295.0,0.00012434496846966872,56926.0,0.0001053999929733338
65.0,23,170087.0,170056.0,31.0,0.00018225966711153704,8.0,24.0,0.0001411042584089319,2.0,5.291409690334946e-05,9,56628.0,0.0003531821713639895,56672.0,0.0001411631846414455,56787.0,5.282899255111205e-05
65.0,24,170593.0,170483.0,110.0,0.0006448095760083943,14.0,24.0,0.00014068572567455873,2.0,8.206667331015926e-05,15,56824.0,0.0013374630437843166,56855.0,0.00047489226980916365,56914.0,0.0001229925853041431
65.0,25,170081.0,170074.0,7.0,4.115686055467689e-05,3.0,18.0,0.00010583192714059772,2.0,2.3518206031243936e-05,4,56698.0,5.291191929168577e-05,56708.0,5.290258870000705e-05,56675.0,1.76444640494045e-05
65.0,26,170721.0,170684.0,37.0,0.0002167278776483268,8.0,22.0,0.00012886522454765378,2.0,4.686008165369228e-05,9,56717.0,0.0004231535518451258,57072.0,0.00017521726941407346,56932.0,5.2694442492798425e-05
65.0,27,170236.0,170172.0,64.0,0.00037594868300476985,15.0,23.0,0.00013510655795483917,2.0,5.286778354754576e-05,16,56985.0,0.0006492936737738001,56606.0,0.000370985407907289,56645.0,0.00010592285285550358
65.0,28,170178.0,170137.0,41.0,0.0002409242087696412,8.0,25.0,0.0001469050053473422,2.0,6.463820235283056e-05,9,56970.0,0.00036861506055818854,56643.0,0.00019419875359709055,56565.0,0.00015910898965791568
65.0,29,170288.0,170234.0,54.0,0.0003171098374518463,8.0,24.0,0.0001409377055341539,2.0,7.046885276707695e-05,9,56787.0,0.00045785126877630444,56509.0,0.0003185333309738272,56992.0,0.00017546322290847838
